conquering_cost,filename,total_scores,travelling_cost
24654.0,inputs/234.in,102494.0,77840.0
674538.0,inputs/374.in,60398203.44840002,59723665.44840002
2600.0,inputs/265.in,4576.0,1976.0
295.0,inputs/325.in,1341.0,1046.0
5.0,inputs/296.in,21.0,16.0
11492995.2279,inputs/107.in,25082401.7093,13589406.4814
493874.0,inputs/156.in,493938.0,64.0
70239.0,inputs/387.in,197809.0,127570.0
936.0,inputs/311.in,1798.0,862.0
38.0,inputs/251.in,52.0,14.0
5495.0,inputs/340.in,16273.0,10778.0
17.0,inputs/200.in,59.0,42.0
15.0183,inputs/191.in,543.44796,528.42966
2257.2296,inputs/162.in,6116.921399999998,3859.6917999999982
0.0706999999999999,inputs/133.in,1132.6160799999993,1132.5453799999993
1.0,inputs/2.in,41.0,40.0
144.0,inputs/618.in,394.0,250.0
1315.0,inputs/589.in,9765.368999999999,8450.368999999999
7676.886500000001,inputs/649.in,23431.0681,15754.1816
8.0,inputs/709.in,24.0,16.0
256.0,inputs/498.in,1024.0,768.0
404.0,inputs/488.in,1082.0,678.0
4.0,inputs/719.in,804.0,800.0
9349.0,inputs/659.in,34873.0,25524.0
1125.0,inputs/599.in,6375.0,5250.0
240.0,inputs/608.in,428.0,188.0
75.0,inputs/123.in,193.0,118.0
76.0,inputs/172.in,138.0,62.0
5811.0,inputs/181.in,13089.0,7278.0
14909.0,inputs/210.in,19669.0,4760.0
8.0,inputs/350.in,30.0,22.0
167.0,inputs/241.in,2231.0,2064.0
27376395.0,inputs/301.in,59653781.0,32277386.0
1016.0,inputs/397.in,3116.0,2100.0
52.0,inputs/146.in,236.0,184.0
742.0,inputs/117.in,1118.0,376.0
48.0,inputs/286.in,236.0,188.0
2225063.05,inputs/335.in,7925230.83,5700167.78
61.5,inputs/275.in,115.5,54.0
36.0,inputs/364.in,118.0,82.0
245.0,inputs/224.in,1039.0,794.0
65.0,inputs/344.in,409.0,344.0
999999999.97,inputs/195.in,1000000000.01,0.04
744.0,inputs/204.in,2158.0,1414.0
74.0,inputs/315.in,356.0,282.0
186.0,inputs/255.in,197.26000000000002,11.260000000000009
2.0,inputs/137.in,402.0,400.0
2266.0,inputs/166.in,97908.29999999999,95642.29999999999
2125.0,inputs/261.in,9343.0,7218.0
7000.0,inputs/321.in,7040.0,40.0
72.0,inputs/230.in,130.0,58.0
2995.0,inputs/370.in,4051.0,1056.0
142.0,inputs/152.in,300.0,158.0
306.0,inputs/383.in,2694.0,2388.0
512.0,inputs/103.in,1268.0,756.0
70.0999999999996,inputs/292.in,418.49999999999795,348.3999999999984
225224.0,inputs/628.in,934548.9400000015,709324.9400000015
132.0,inputs/99.in,5248.0,5116.0
132556.0832,inputs/6.in,7211862.965399998,7079306.882199998
454954.3900000001,inputs/679.in,1675591.83,1220637.44
3143.0,inputs/669.in,7865.0,4722.0
27.0,inputs/638.in,335.0,308.0
53.0,inputs/89.in,150.8,97.8
84.0,inputs/282.in,448.0,364.0
312.0,inputs/113.in,1068.0,756.0
2000000000.0,inputs/393.in,2000000000.004,0.004
5140.0,inputs/142.in,15698.0,10558.0
93.0,inputs/360.in,1601.0,1508.0
81.0,inputs/220.in,883.0,802.0
230.0,inputs/331.in,534.0,304.0
3.0,inputs/271.in,71.0,68.0
426.0,inputs/176.in,724.0,298.0
1250.0,inputs/127.in,15948.0,14698.0
582.0,inputs/245.in,17601.8,17019.8
109.0,inputs/305.in,411.0,302.0
9900.0,inputs/214.in,29600.0,19700.0
43.0,inputs/185.in,1501.0,1458.0
300.0,inputs/354.in,1582.0,1282.0
960.0,inputs/345.in,1108627.05996,1107667.05996
5712.0,inputs/205.in,15696.0,9984.0
1024.0,inputs/194.in,1494.0,470.0
5761703509.0,inputs/314.in,11194751257.0,5433047748.0
10.327100000000002,inputs/254.in,17.364900000000002,7.037800000000002
88478666.0,inputs/136.in,245731938.0,157253272.0
463.0,inputs/167.in,1295.0,832.0
13761.0,inputs/260.in,23811.0,10050.0
79.0,inputs/320.in,275.0,196.0
64061222960.3636,inputs/231.in,190471919629.81366,126410696669.45004
5551.0,inputs/371.in,6221.0,670.0
53000108.0,inputs/153.in,53124160.0,124052.0
1111.0,inputs/382.in,10597.0,9486.0
187.5,inputs/293.in,318.5,131.0
166.0,inputs/102.in,594.0,428.0
2.2000000000000006,inputs/98.in,9500.600000000008,9498.400000000007
8.0,inputs/629.in,368.38,360.38
531981.6031999999,inputs/7.in,18284005.615,17752024.0118
403409.66000000003,inputs/678.in,1235247.6,831837.9400000001
71996241671.61588,inputs/668.in,204138175618.82886,132141933947.21298
507.0,inputs/88.in,1055.0,548.0
12.0,inputs/639.in,56.0,44.0
1272.0,inputs/112.in,4356.0,3084.0
188.0,inputs/283.in,918.0,730.0
32184020881.0,inputs/392.in,73426164911.0,41242144030.0
280.0,inputs/143.in,1072.0,792.0
127.0,inputs/361.in,2163.0,2036.0
40.0,inputs/221.in,80.0,40.0
255.0,inputs/330.in,559.0,304.0
12.0,inputs/270.in,56.0,44.0
945.6907999999999,inputs/177.in,33880.9236,32935.232800000005
960.0,inputs/126.in,1266.0,306.0
4324.0,inputs/244.in,42477.995999999985,38153.995999999985
902.0,inputs/304.in,3518.0,2616.0
311.0,inputs/184.in,7747.0,7436.0
600.0,inputs/215.in,1700.0,1100.0
600.0,inputs/355.in,3166.0,2566.0
54498.0,inputs/235.in,191960.0,137462.0
2.0,inputs/375.in,16.0,14.0
2349.0,inputs/264.in,3479.0,1130.0
160.0,inputs/324.in,424.0,264.0
100404395.62150005,inputs/106.in,172898845.54530013,72494449.92380007
270.0,inputs/297.in,7776.0,7506.0
217139.0,inputs/157.in,217175.0,36.0
86.0,inputs/386.in,298.0,212.0
2239.0,inputs/341.in,6715.0,4476.0
100.0,inputs/190.in,37644.3484,37544.3484
586.0,inputs/201.in,4714.0,4128.0
4588.835900000001,inputs/163.in,11318.6673,6729.831399999998
0.0002900000000000001,inputs/132.in,43501.17605000001,43501.175760000006
7.079999999999999,inputs/3.in,4452.32,4445.24
1984.0,inputs/588.in,8448.681039999996,6464.681039999996
102.0,inputs/619.in,416.0,314.0
3109.0472,inputs/648.in,10021.053,6912.005800000001
629714.2865300003,inputs/499.in,2387428.5740300086,1757714.2875000085
3.0,inputs/708.in,9.0,6.0
4984.0,inputs/718.in,5968.0,984.0
11951.0,inputs/489.in,61223.0,49272.0
5788.0,inputs/658.in,36706.0,30918.0
25854934166.0,inputs/609.in,27269246826.0,1414312660.0
1943.0,inputs/598.in,14109.0,12166.0
934.0,inputs/122.in,2058.0,1124.0
76.0,inputs/173.in,138.0,62.0
71209.0,inputs/211.in,83129.0,11920.0
1903.0,inputs/180.in,5085.0,3182.0
3125.0,inputs/351.in,5690.33458,2565.3345799999997
52.0,inputs/240.in,964.0,912.0
3708112.0,inputs/300.in,15522292.0,11814180.0
586.0,inputs/396.in,1576.0,990.0
317.0,inputs/147.in,799.4,482.4
149.0,inputs/287.in,427.0,278.0
150.0,inputs/116.in,660.0,510.0
41144673.04000001,inputs/334.in,180063831.40000004,138919158.36000004
280.5,inputs/274.in,526.5,246.0
2.0,inputs/365.in,6.0,4.0
2.0,inputs/225.in,998.0,996.0
521.0,inputs/404.in,1709.0,1188.0
30.0,inputs/544.in,162.0,132.0
300.0,inputs/64.in,680.0,380.0
31.391000000000002,inputs/455.in,312.89300000000003,281.502
325.0,inputs/515.in,1151.0,826.0
149.00400000000005,inputs/684.in,440.69399999999996,291.68999999999994
66.0,inputs/35.in,300.0,234.0
168130.20280000003,inputs/8.in,4696595.483600001,4528465.280800001
1.72296,inputs/677.in,8.505320000000001,6.782360000000001
100.0,inputs/97.in,37600.0,37500.0
132.0,inputs/626.in,194.0,62.0
1513.4700000000003,inputs/461.in,3427.894,1914.4239999999995
54.0,inputs/570.in,174.0,120.0
20.0,inputs/50.in,350.0,330.0
12.0,inputs/430.in,1104.0,1092.0
7682.0,inputs/583.in,31078.0,23396.0
